[02] , [5B] , [00] , [5D] , [F4] , [70] , [18] , [CC] , 25:10:16:20:39:376
[03] , [5B] , [00] , [5D] , [10] , [8B] , [1D] , [23] , 25:10:16:20:39:409
[01] , [5C] , [00] , [5E] , [0F] , [6A] , [21] , [C5] , 25:10:16:20:39:476
[02] , [5B] , [00] , [5E] , [F3] , [70] , [17] , [CB] , 25:10:16:20:39:509
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:39:642
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:39:642
[02] , [5B] , [00] , [60] , [F3] , [6F] , [17] , [CB] , 25:10:16:20:39:642
[03] , [5B] , [00] , [60] , [10] , [8B] , [1D] , [23] , 25:10:16:20:39:676
[01] , [5B] , [00] , [61] , [0F] , [6A] , [20] , [C5] , 25:10:16:20:39:742
[02] , [5B] , [00] , [61] , [F3] , [6F] , [17] , [CB] , 25:10:16:20:39:776
[03] , [5C] , [00] , [63] , [10] , [8B] , [1C] , [23] , 25:10:16:20:39:942
[01] , [5C] , [00] , [63] , [0F] , [6A] , [20] , [C5] , 25:10:16:20:40:009
[02] , [5B] , [00] , [64] , [F4] , [6F] , [17] , [CB] , 25:10:16:20:40:042
[03] , [5C] , [00] , [64] , [10] , [8B] , [1C] , [23] , 25:10:16:20:40:076
[01] , [5B] , [00] , [65] , [0F] , [6A] , [20] , [C5] , 25:10:16:20:40:142
[02] , [5B] , [00] , [65] , [F3] , [6F] , [17] , [CB] , 25:10:16:20:40:176
[03] , [5C] , [00] , [65] , [10] , [8B] , [1C] , [23] , 25:10:16:20:40:209
[01] , [5C] , [00] , [66] , [0F] , [6A] , [20] , [C5] , 25:10:16:20:40:276
[02] , [5B] , [00] , [66] , [F3] , [6F] , [17] , [CA] , 25:10:16:20:40:309
[03] , [5C] , [00] , [67] , [10] , [8B] , [1C] , [23] , 25:10:16:20:40:344
[01] , [5C] , [00] , [67] , [0F] , [6A] , [20] , [C5] , 25:10:16:20:40:409
[02] , [5B] , [00] , [68] , [F3] , [6F] , [17] , [CA] , 25:10:16:20:40:442
[03] , [5C] , [00] , [68] , [0F] , [8B] , [1C] , [24] , 25:10:16:20:40:476
[01] , [5B] , [00] , [69] , [0F] , [69] , [21] , [C5] , 25:10:16:20:40:542
[02] , [5B] , [00] , [69] , [F3] , [6F] , [17] , [CA] , 25:10:16:20:40:576
[03] , [5B] , [00] , [69] , [0F] , [8B] , [1C] , [24] , 25:10:16:20:40:609
[01] , [5B] , [00] , [6A] , [10] , [6A] , [21] , [C5] , 25:10:16:20:40:676
[02] , [5B] , [00] , [6A] , [F4] , [6F] , [17] , [CA] , 25:10:16:20:40:709
[03] , [5C] , [00] , [6B] , [0F] , [8B] , [1C] , [24] , 25:10:16:20:40:742
[01] , [5B] , [00] , [6B] , [10] , [6A] , [21] , [C5] , 25:10:16:20:40:809
[02] , [5B] , [00] , [6C] , [F4] , [6F] , [17] , [CA] , 25:10:16:20:40:842
[03] , [5C] , [00] , [6C] , [0F] , [8B] , [1C] , [24] , 25:10:16:20:40:875
[01] , [5B] , [00] , [6D] , [0F] , [6A] , [21] , [C6] , 25:10:16:20:40:942
[02] , [5B] , [00] , [6D] , [F3] , [6F] , [17] , [CA] , 25:10:16:20:40:976
[03] , [5B] , [00] , [6D] , [10] , [8B] , [1C] , [24] , 25:10:16:20:41:009
[01] , [5B] , [00] , [6E] , [0F] , [6A] , [21] , [C5] , 25:10:16:20:41:076
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:20:41:142
[03] , [5C] , [00] , [6F] , [10] , [8B] , [1D] , [24] , 25:10:16:20:41:142
[01] , [5B] , [00] , [6F] , [0F] , [6A] , [20] , [C6] , 25:10:16:20:41:209
[02] , [5B] , [00] , [71] , [F4] , [6F] , [17] , [CA] , 25:10:16:20:41:375
[03] , [5C] , [00] , [71] , [10] , [8B] , [1D] , [24] , 25:10:16:20:41:408
