[02] , [5B] , [00] , [02] , [2A] , [42] , [57] , [D0] , 25:10:16:06:51:310
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:51:410
[01] , [5B] , [00] , [03] , [51] , [05] , [5F] , [EE] , 25:10:16:06:51:410
[02] , [5B] , [00] , [03] , [2A] , [42] , [57] , [D0] , 25:10:16:06:51:443
[03] , [5B] , [00] , [04] , [08] , [92] , [D0] , [26] , 25:10:16:06:51:476
[01] , [5C] , [00] , [04] , [51] , [05] , [5F] , [EE] , 25:10:16:06:51:543
[02] , [5B] , [00] , [05] , [2A] , [43] , [56] , [D0] , 25:10:16:06:51:576
[03] , [5B] , [00] , [05] , [08] , [91] , [D1] , [26] , 25:10:16:06:51:609
[01] , [5B] , [00] , [06] , [50] , [06] , [5F] , [ED] , 25:10:16:06:51:676
[02] , [5B] , [00] , [06] , [29] , [43] , [56] , [D0] , 25:10:16:06:51:709
[03] , [5B] , [00] , [06] , [09] , [91] , [D2] , [26] , 25:10:16:06:51:742
[01] , [5B] , [00] , [07] , [50] , [06] , [5F] , [ED] , 25:10:16:06:51:809
[02] , [5B] , [00] , [07] , [28] , [44] , [56] , [D0] , 25:10:16:06:51:842
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:51:976
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:51:976
[02] , [5B] , [00] , [09] , [28] , [45] , [56] , [D1] , 25:10:16:06:51:976
[03] , [5B] , [00] , [09] , [0A] , [90] , [D5] , [25] , 25:10:16:06:52:009
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:52:109
[02] , [5B] , [00] , [0A] , [28] , [45] , [55] , [D1] , 25:10:16:06:52:109
[03] , [5B] , [00] , [0A] , [0A] , [8F] , [D6] , [25] , 25:10:16:06:52:142
[01] , [5B] , [00] , [0B] , [51] , [08] , [5F] , [EC] , 25:10:16:06:52:209
[02] , [5B] , [00] , [0B] , [29] , [44] , [55] , [D0] , 25:10:16:06:52:242
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:52:342
[01] , [5B] , [00] , [0C] , [51] , [08] , [5E] , [EC] , 25:10:16:06:52:342
[02] , [5B] , [00] , [0D] , [28] , [45] , [54] , [CF] , 25:10:16:06:52:375
[03] , [5C] , [00] , [0D] , [0B] , [8E] , [DA] , [25] , 25:10:16:06:52:409
[01] , [5B] , [00] , [0E] , [50] , [09] , [5E] , [E9] , 25:10:16:06:52:475
[02] , [5B] , [00] , [0E] , [27] , [45] , [54] , [CE] , 25:10:16:06:52:509
[03] , [5C] , [00] , [0E] , [0C] , [8E] , [DB] , [25] , 25:10:16:06:52:542
[01] , [5B] , [00] , [0F] , [50] , [0A] , [5E] , [E9] , 25:10:16:06:52:608
[02] , [5B] , [00] , [0F] , [27] , [45] , [54] , [CE] , 25:10:16:06:52:642
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:52:742
[01] , [5C] , [00] , [10] , [50] , [0B] , [5E] , [E9] , 25:10:16:06:52:742
[02] , [5B] , [00] , [11] , [26] , [46] , [54] , [CD] , 25:10:16:06:52:775
[03] , [5B] , [00] , [11] , [0D] , [8D] , [DE] , [26] , 25:10:16:06:52:809
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:52:908
[02] , [5B] , [00] , [12] , [26] , [46] , [54] , [CD] , 25:10:16:06:52:908
[03] , [5B] , [00] , [12] , [0D] , [8D] , [DF] , [25] , 25:10:16:06:52:942
[01] , [5C] , [00] , [13] , [4F] , [0C] , [5E] , [E7] , 25:10:16:06:53:008
[02] , [5B] , [00] , [13] , [25] , [46] , [53] , [CD] , 25:10:16:06:53:042
[03] , [5C] , [00] , [14] , [0E] , [8C] , [E1] , [25] , 25:10:16:06:53:075
[01] , [5B] , [00] , [14] , [4F] , [0D] , [5E] , [E7] , 25:10:16:06:53:142
[02] , [5B] , [00] , [15] , [24] , [47] , [53] , [CC] , 25:10:16:06:53:175
[03] , [5C] , [00] , [15] , [0E] , [8C] , [E3] , [25] , 25:10:16:06:53:208
[01] , [5B] , [00] , [16] , [4F] , [0E] , [5D] , [E6] , 25:10:16:06:53:275
[02] , [5B] , [00] , [16] , [23] , [47] , [53] , [CB] , 25:10:16:06:53:308
[03] , [5C] , [00] , [16] , [0F] , [8B] , [E4] , [24] , 25:10:16:06:53:342
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:53:441
[02] , [5B] , [00] , [17] , [23] , [47] , [53] , [CB] , 25:10:16:06:53:441
[03] , [5B] , [00] , [18] , [0F] , [8B] , [E5] , [24] , 25:10:16:06:53:475
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:53:575
[02] , [5B] , [00] , [19] , [23] , [47] , [53] , [CC] , 25:10:16:06:53:575
[03] , [5B] , [00] , [19] , [0F] , [8B] , [E6] , [24] , 25:10:16:06:53:608
[01] , [5C] , [00] , [1A] , [4F] , [11] , [5D] , [E5] , 25:10:16:06:53:675
[02] , [5B] , [00] , [1A] , [23] , [47] , [53] , [CC] , 25:10:16:06:53:708
[03] , [5B] , [00] , [1A] , [0F] , [8B] , [E7] , [24] , 25:10:16:06:53:741
[01] , [5B] , [00] , [1B] , [4E] , [11] , [5D] , [E5] , 25:10:16:06:53:808
[02] , [5B] , [00] , [1B] , [23] , [48] , [53] , [CC] , 25:10:16:06:53:841
[03] , [5B] , [00] , [1C] , [0F] , [8A] , [E8] , [24] , 25:10:16:06:53:874
[01] , [5C] , [00] , [1C] , [4E] , [12] , [5D] , [E4] , 25:10:16:06:53:941
[02] , [5B] , [00] , [1D] , [22] , [48] , [53] , [CC] , 25:10:16:06:53:974
[03] , [5C] , [00] , [1D] , [0F] , [8A] , [E9] , [24] , 25:10:16:06:54:008
[01] , [5B] , [00] , [1E] , [4E] , [14] , [5D] , [E4] , 25:10:16:06:54:074
[02] , [5B] , [00] , [1E] , [22] , [48] , [52] , [CC] , 25:10:16:06:54:107
[03] , [5C] , [00] , [1E] , [10] , [8A] , [EA] , [24] , 25:10:16:06:54:141
[01] , [5B] , [00] , [1F] , [4E] , [14] , [5D] , [E3] , 25:10:16:06:54:207
[02] , [5B] , [00] , [1F] , [22] , [48] , [52] , [CC] , 25:10:16:06:54:241
[03] , [5B] , [00] , [20] , [0F] , [8A] , [EB] , [24] , 25:10:16:06:54:274
[01] , [5C] , [00] , [20] , [4D] , [15] , [5D] , [E3] , 25:10:16:06:54:341
[02] , [5B] , [00] , [21] , [21] , [49] , [52] , [CC] , 25:10:16:06:54:374
[03] , [5B] , [00] , [21] , [10] , [8A] , [EC] , [24] , 25:10:16:06:54:407
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:54:507
[02] , [5B] , [00] , [22] , [21] , [49] , [52] , [CC] , 25:10:16:06:54:507
[03] , [5B] , [00] , [22] , [0F] , [8A] , [EC] , [24] , 25:10:16:06:54:541
[01] , [5B] , [00] , [23] , [4D] , [17] , [5D] , [E3] , 25:10:16:06:54:607
[02] , [5B] , [00] , [23] , [21] , [4A] , [52] , [CD] , 25:10:16:06:54:641
[03] , [5C] , [00] , [24] , [10] , [8A] , [EE] , [24] , 25:10:16:06:54:674
[01] , [5B] , [00] , [24] , [4C] , [18] , [5D] , [E2] , 25:10:16:06:54:741
[02] , [5B] , [00] , [25] , [22] , [4B] , [51] , [CE] , 25:10:16:06:54:774
[03] , [5B] , [00] , [25] , [10] , [8A] , [EE] , [25] , 25:10:16:06:54:807
[01] , [5C] , [00] , [26] , [4C] , [19] , [5D] , [E2] , 25:10:16:06:54:874
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:54:941
[03] , [5B] , [00] , [26] , [10] , [89] , [EF] , [25] , 25:10:16:06:54:941
[01] , [5C] , [00] , [27] , [4B] , [1A] , [5D] , [E2] , 25:10:16:06:55:007
[02] , [5B] , [00] , [27] , [21] , [4C] , [51] , [CD] , 25:10:16:06:55:040
[03] , [5B] , [00] , [28] , [0F] , [89] , [F0] , [25] , 25:10:16:06:55:074
[01] , [5B] , [00] , [28] , [4B] , [1A] , [5D] , [E1] , 25:10:16:06:55:140
[02] , [5B] , [00] , [29] , [21] , [4C] , [50] , [CD] , 25:10:16:06:55:174
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:55:274
[01] , [5B] , [00] , [2A] , [4B] , [1B] , [5D] , [E1] , 25:10:16:06:55:274
[02] , [5B] , [00] , [2A] , [21] , [4C] , [4F] , [CD] , 25:10:16:06:55:307
[03] , [5B] , [00] , [2A] , [0F] , [89] , [F2] , [25] , 25:10:16:06:55:340
[01] , [5B] , [00] , [2B] , [4A] , [1C] , [5D] , [E1] , 25:10:16:06:55:407
[02] , [5B] , [00] , [2B] , [21] , [4D] , [4F] , [CD] , 25:10:16:06:55:440
[03] , [5C] , [00] , [2C] , [0F] , [89] , [F3] , [25] , 25:10:16:06:55:473
[01] , [5B] , [00] , [2C] , [4A] , [1C] , [5D] , [E1] , 25:10:16:06:55:540
[02] , [5B] , [00] , [2D] , [21] , [4D] , [4F] , [CD] , 25:10:16:06:55:573
[03] , [5C] , [00] , [2D] , [0F] , [89] , [F3] , [25] , 25:10:16:06:55:607
