[03] , [5C] , [00] , [2B] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:19:598
[01] , [5C] , [00] , [2C] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:19:665
[02] , [5B] , [00] , [2C] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:698
[03] , [5B] , [00] , [2C] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:19:731
[01] , [5B] , [00] , [2D] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:19:798
[02] , [5B] , [00] , [2D] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:831
[03] , [5C] , [00] , [2D] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:19:864
[01] , [5C] , [00] , [2E] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:19:931
[02] , [5B] , [00] , [2F] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:19:964
[03] , [5B] , [00] , [2F] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:19:998
[01] , [5B] , [00] , [30] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:20:064
[02] , [5B] , [00] , [30] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:20:098
[03] , [5C] , [00] , [30] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:20:131
[01] , [5C] , [00] , [31] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:20:198
[02] , [5B] , [00] , [31] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:20:231
[03] , [5B] , [00] , [31] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:20:264
[01] , [5B] , [00] , [32] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:20:331
[02] , [5B] , [00] , [33] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:20:364
[03] , [5B] , [00] , [33] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:20:398
[01] , [5B] , [00] , [34] , [0D] , [6B] , [23] , [CA] , 25:10:16:42:20:464
[02] , [5B] , [00] , [34] , [E0] , [71] , [F9] , [D2] , 25:10:16:42:20:498
[03] , [5B] , [00] , [34] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:20:531
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:20:631
[02] , [5B] , [00] , [35] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:20:631
[03] , [5B] , [00] , [35] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:20:664
[01] , [5B] , [00] , [36] , [0E] , [6C] , [24] , [CA] , 25:10:16:42:20:731
[02] , [5B] , [00] , [37] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:20:764
[03] , [5C] , [00] , [37] , [0F] , [8D] , [1E] , [26] , 25:10:16:42:20:798
[01] , [5C] , [00] , [38] , [0E] , [6B] , [24] , [CA] , 25:10:16:42:20:864
[02] , [5B] , [00] , [38] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:20:897
[03] , [5B] , [00] , [38] , [0F] , [8D] , [1F] , [26] , 25:10:16:42:20:931
[01] , [5B] , [00] , [39] , [0E] , [6C] , [24] , [CA] , 25:10:16:42:20:997
[02] , [5B] , [00] , [39] , [E1] , [71] , [F9] , [D2] , 25:10:16:42:21:031
