[01] , [5B] , [00] , [1F] , [EA] , [96] , [ED] , [3E] , 25:10:15:53:15:273
[02] , [5B] , [00] , [20] , [19] , [8E] , [FE] , [30] , 25:10:15:53:15:306
[03] , [5B] , [00] , [20] , [FF] , [77] , [13] , [D9] , 25:10:15:53:15:339
[01] , [5B] , [00] , [21] , [EC] , [96] , [EE] , [3E] , 25:10:15:53:15:406
[02] , [5B] , [00] , [21] , [19] , [8E] , [FE] , [30] , 25:10:15:53:15:439
[03] , [5B] , [00] , [21] , [FF] , [77] , [12] , [D9] , 25:10:15:53:15:472
[01] , [5C] , [00] , [22] , [ED] , [95] , [EE] , [3E] , 25:10:15:53:15:539
[02] , [5B] , [00] , [22] , [19] , [8E] , [FF] , [30] , 25:10:15:53:15:572
[03] , [5C] , [00] , [23] , [00] , [77] , [13] , [D9] , 25:10:15:53:15:605
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:15:706
[02] , [5B] , [00] , [24] , [19] , [8E] , [FF] , [30] , 25:10:15:53:15:706
[03] , [5C] , [00] , [24] , [00] , [77] , [13] , [D9] , 25:10:15:53:15:739
[01] , [5B] , [00] , [25] , [EE] , [95] , [F0] , [3E] , 25:10:15:53:15:806
[02] , [5B] , [00] , [25] , [18] , [8E] , [FF] , [30] , 25:10:15:53:15:839
[03] , [5B] , [00] , [25] , [00] , [77] , [13] , [D9] , 25:10:15:53:15:872
[01] , [5B] , [00] , [26] , [EE] , [94] , [F0] , [3E] , 25:10:15:53:15:939
[02] , [5B] , [00] , [26] , [18] , [8E] , [FF] , [30] , 25:10:15:53:15:972
[03] , [5B] , [00] , [27] , [00] , [77] , [12] , [D9] , 25:10:15:53:16:005
[01] , [5B] , [00] , [27] , [EF] , [94] , [F1] , [3E] , 25:10:15:53:16:072
[02] , [5B] , [00] , [28] , [18] , [8E] , [FF] , [30] , 25:10:15:53:16:105
[03] , [5B] , [00] , [28] , [00] , [77] , [12] , [D9] , 25:10:15:53:16:139
[01] , [5B] , [00] , [29] , [F0] , [94] , [F2] , [3E] , 25:10:15:53:16:205
