[02] , [5A] , [00] , [B1] , [03] , [8C] , [0F] , [30] , 25:10:11:14:13:345
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:445
[01] , [5A] , [00] , [B2] , [05] , [84] , [06] , [19] , 25:10:11:14:13:445
[02] , [5A] , [00] , [B2] , [03] , [8C] , [0F] , [30] , 25:10:11:14:13:479
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:578
[01] , [5A] , [00] , [B3] , [06] , [84] , [06] , [19] , 25:10:11:14:13:578
[02] , [5A] , [00] , [B3] , [03] , [8C] , [0F] , [31] , 25:10:11:14:13:612
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:712
[01] , [5A] , [00] , [B4] , [06] , [84] , [07] , [19] , 25:10:11:14:13:712
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:845
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:845
[01] , [5B] , [00] , [B6] , [07] , [84] , [07] , [19] , 25:10:11:14:13:845
[02] , [5A] , [00] , [B6] , [04] , [8C] , [10] , [30] , 25:10:11:14:13:878
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:978
[01] , [5B] , [00] , [B7] , [07] , [85] , [07] , [19] , 25:10:11:14:13:978
[02] , [5B] , [00] , [B7] , [04] , [8C] , [10] , [30] , 25:10:11:14:14:011
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:14:111
[01] , [5B] , [00] , [B8] , [06] , [85] , [07] , [1A] , 25:10:11:14:14:111
[02] , [5A] , [00] , [B9] , [03] , [8C] , [0E] , [31] , 25:10:11:14:14:145
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:14:245
[01] , [5B] , [00] , [BA] , [05] , [85] , [06] , [1B] , 25:10:11:14:14:245
[02] , [5B] , [00] , [BA] , [03] , [8C] , [0E] , [30] , 25:10:11:14:14:278
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:14:344
[01] , [5A] , [00] , [BB] , [07] , [85] , [08] , [1B] , 25:10:11:14:14:378
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:14:511
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:14:511
[01] , [5B] , [00] , [BC] , [08] , [85] , [09] , [1A] , 25:10:11:14:14:511
[02] , [5A] , [00] , [BD] , [05] , [8C] , [10] , [2F] , 25:10:11:14:14:544
[03] , [5B] , [00] , [E3] , [FA] , [6D] , [0D] , [C1] , 25:10:11:14:14:578
[01] , [5B] , [00] , [BE] , [07] , [85] , [09] , [1A] , 25:10:11:14:14:644
[02] , [5B] , [00] , [BE] , [07] , [8C] , [10] , [30] , 25:10:11:14:14:678
[03] , [5B] , [00] , [E4] , [F9] , [6C] , [0D] , [C1] , 25:10:11:14:14:711
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:14:811
[02] , [5A] , [00] , [BF] , [07] , [8C] , [10] , [30] , 25:10:11:14:14:811
[03] , [5B] , [00] , [E5] , [F9] , [6D] , [0D] , [C1] , 25:10:11:14:14:844
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:111
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:111
[03] , [5B] , [00] , [E8] , [F9] , [6C] , [0D] , [C0] , 25:10:11:14:15:111
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:244
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:244
[03] , [5B] , [00] , [E9] , [F9] , [6C] , [0D] , [C0] , 25:10:11:14:15:244
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:378
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:378
[03] , [5B] , [00] , [EB] , [F9] , [6C] , [0D] , [C0] , 25:10:11:14:15:378
[01] , [5A] , [00] , [C6] , [01] , [84] , [01] , [19] , 25:10:11:14:15:444
[02] , [5B] , [00] , [C6] , [05] , [8D] , [10] , [31] , 25:10:11:14:15:478
[03] , [5B] , [00] , [EC] , [F9] , [6C] , [0D] , [C0] , 25:10:11:14:15:511
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:611
[02] , [5B] , [00] , [C7] , [04] , [8D] , [0F] , [31] , 25:10:11:14:15:611
[03] , [5B] , [00] , [ED] , [FA] , [6C] , [0E] , [C0] , 25:10:11:14:15:644
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:15:744
[02] , [5A] , [00] , [C9] , [03] , [8C] , [0E] , [30] , 25:10:11:14:15:744
[03] , [5B] , [00] , [EF] , [FB] , [6C] , [0D] , [C0] , 25:10:11:14:15:777
[01] , [5A] , [00] , [CA] , [01] , [84] , [00] , [19] , 25:10:11:14:15:844
[02] , [5A] , [00] , [CA] , [03] , [8C] , [0E] , [2F] , 25:10:11:14:15:877
[03] , [5B] , [00] , [F0] , [FC] , [6C] , [0D] , [C0] , 25:10:11:14:15:910
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:010
[02] , [5A] , [00] , [CB] , [02] , [8C] , [0D] , [30] , 25:10:11:14:16:010
[03] , [5B] , [00] , [F1] , [FD] , [6C] , [0E] , [C0] , 25:10:11:14:16:044
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:144
[02] , [5B] , [00] , [CD] , [02] , [8C] , [0D] , [30] , 25:10:11:14:16:144
[03] , [5B] , [00] , [F3] , [FE] , [6C] , [0E] , [C1] , 25:10:11:14:16:177
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:277
[02] , [5B] , [00] , [CE] , [02] , [8C] , [0C] , [31] , 25:10:11:14:16:277
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:343
[01] , [5A] , [00] , [CF] , [02] , [84] , [00] , [1A] , 25:10:11:14:16:377
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:444
[03] , [5B] , [00] , [F5] , [FF] , [6C] , [0D] , [C0] , 25:10:11:14:16:444
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:543
[02] , [5A] , [00] , [D1] , [01] , [8C] , [0C] , [30] , 25:10:11:14:16:543
[03] , [5B] , [00] , [F7] , [00] , [6C] , [0E] , [C0] , 25:10:11:14:16:577
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:677
[02] , [5B] , [00] , [D2] , [01] , [8C] , [0C] , [30] , 25:10:11:14:16:677
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:776
[01] , [5A] , [00] , [D3] , [01] , [84] , [FD] , [19] , 25:10:11:14:16:776
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:910
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:16:910
[01] , [5A] , [00] , [D4] , [01] , [84] , [FD] , [19] , 25:10:11:14:16:910
[02] , [5B] , [00] , [D5] , [00] , [8C] , [0C] , [30] , 25:10:11:14:16:943
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:17:043
[01] , [5A] , [00] , [D6] , [01] , [84] , [FD] , [19] , 25:10:11:14:17:043
[02] , [5B] , [00] , [D6] , [00] , [8C] , [0C] , [30] , 25:10:11:14:17:076
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:17:143
[01] , [5B] , [00] , [D7] , [01] , [84] , [FD] , [19] , 25:10:11:14:17:177
[02] , [5B] , [00] , [D7] , [01] , [8C] , [0D] , [30] , 25:10:11:14:17:210
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:17:310
[01] , [5B] , [00] , [D8] , [01] , [84] , [FD] , [1A] , 25:10:11:14:17:310
[02] , [5B] , [00] , [D9] , [03] , [8C] , [0D] , [30] , 25:10:11:14:17:343
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:17:443
[01] , [5A] , [00] , [DA] , [02] , [84] , [FD] , [1A] , 25:10:11:14:17:443
[02] , [5A] , [00] , [DA] , [02] , [8C] , [0D] , [31] , 25:10:11:14:17:476
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:17:709
[01] , [5B] , [00] , [DC] , [03] , [84] , [FE] , [1A] , 25:10:11:14:17:709
[02] , [5A] , [00] , [DD] , [04] , [8D] , [0F] , [31] , 25:10:11:14:17:743
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:17:843
[01] , [5A] , [00] , [DE] , [03] , [84] , [FF] , [19] , 25:10:11:14:17:843
[02] , [5A] , [00] , [DE] , [06] , [8D] , [10] , [31] , 25:10:11:14:17:876
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:009
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:009
[02] , [5A] , [00] , [DF] , [06] , [8D] , [10] , [31] , 25:10:11:14:18:009
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:18:109
