[01] , [5A] , [00] , [1C] , [00] , [78] , [16] , [E0] , 25:10:10:37:27:264
[02] , [5A] , [00] , [1D] , [08] , [75] , [08] , [D3] , 25:10:10:37:27:297
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:27:397
[01] , [5A] , [00] , [1E] , [00] , [78] , [16] , [E0] , 25:10:10:37:27:397
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:27:530
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:27:530
[01] , [5B] , [00] , [1F] , [00] , [78] , [17] , [E1] , 25:10:10:37:27:530
[02] , [5B] , [00] , [1F] , [08] , [75] , [08] , [D3] , 25:10:10:37:27:564
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:27:630
[01] , [5A] , [00] , [20] , [00] , [78] , [17] , [E1] , 25:10:10:37:27:664
[02] , [5B] , [00] , [21] , [08] , [75] , [08] , [D2] , 25:10:10:37:27:697
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:27:797
[01] , [5A] , [00] , [22] , [01] , [78] , [17] , [E0] , 25:10:10:37:27:797
[02] , [5A] , [00] , [22] , [08] , [75] , [08] , [D2] , 25:10:10:37:27:830
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:27:930
[01] , [5B] , [00] , [23] , [01] , [78] , [17] , [E0] , 25:10:10:37:27:930
[02] , [5B] , [00] , [23] , [08] , [75] , [08] , [D2] , 25:10:10:37:27:964
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:10:37:28:063
